,name,rating,state,regions
274,Holiday Inn Express & Suites Vineland Millville,4.0,NJ,N
275,La Quinta by Wyndham Altoona Des Moines,4.5,IA,M
276,Eldorado Hotel & Spa,4.3,NM,W
278,Embassy Suites by Hilton Laredo,4.5,TX,S
279,Hollywood Inn Suites Hotel,4.1,CA,W
280,PG Waterfront Hotel & Suites,3.8,FL,S
281,Hilton Cincinnati Netherland Plaza,4.4,OH,M
282,Hard Rock Hotel and Casino Sacramento,3.8,CA,W
283,Sybaris Northbrook,4.7,IL,M
284,Hotel Madison & Shenandoah Valley Conference Center,4.3,VA,S
285,Comfort Inn & Suites,3.9,MI,W
286,Hilton Garden Inn Sacramento/South Natomas,4.3,CA,W
287,Freehand Los Angeles,4.3,CA,W
288,Hotel St Michael Prescott,4.5,AZ,W
289,EPIC Hotel Pico Rivera,4.3,CA,W
290,Residence Inn by Marriott DFW Airport North/Grapevine,4.4,TX,S
291,Home2 Suites by Hilton Battle Creek,4.0,MI,W
292,Holiday Inn Express & Suites Clear Spring,4.2,MD,N
293,Historic Sealy House,4.8,TX,S
294,Hilton Garden Inn Houston-Baytown,4.7,TX,S
295,The Westin Lake Mary Orlando North,4.4,FL,S
296,The Godfrey Hotel Boston,4.5,MA,N
297,Bedford Post Inn,4.3,NY,N
298,Bear Creek Mountain Resort,4.5,PA,N
299,Historic Inns of Annapolis,4.5,MD,N
300,Hotel Indigo Dallas Downtown,4.3,TX,S
301,Pala Casino Spa & Resort,4.2,CA,W
302,DoubleTree by Hilton Hotel Chicago - Alsip,4.3,IL,M
303,The Godfrey Hotel Chicago,4.2,IL,M
304,Hilton Garden Inn Gastonia,4.4,NC,S
305,Hyatt Regency San Francisco Airport,4.3,CA,W
306,Tru by Hilton Elkhart,4.7,IN,M
307,Ironworks Hotel Indy,4.7,IN,M
308,Pala Casino Spa & Resort,4.2,CA,W
309,Hotel Indigo Austin Downtown - University,4.0,TX,S
310,Casper C'mon Inn,4.6,WY,W
311,DoubleTree by Hilton Hotel Decatur Riverfront,4.3,AL,S
312,Holiday Inn Resort Wilmington E-Wrightsville Beach,4.5,NC,S
313,The Grand America Hotel,4.7,UT,W
314,Courtyard by Marriott Chicago Elgin/West Dundee,4.2,IL,M
315,Embassy Suites by Hilton Fort Myers Estero,4.5,FL,S
316,Hotel Baker,4.4,IL,M
317,TownePlace Suites by Marriott New Orleans Downtown/Canal Street,4.3,LA,S
318,Hilton Anaheim,4.2,CA,W
319,Radisson Hotel Nashua,4.0,NH,N
320,Ramada Plaza by Wyndham Garden Grove/Anaheim South,3.7,CA,W
321,Pacifica Beach Hotel,3.9,CA,W
322,Hilton Garden Inn Lansing West,4.5,MI,W
323,Hilton Knoxville,4.3,TN,S
324,DoubleTree by Hilton Hotel New York Times Square West,3.9,NY,N
325,Four Points by Sheraton Birmingham Homewood,4.1,AL,S
326,Avon Old Farms Hotel,4.3,CT,N
327,Par-A-Dice Hotel Casino,4.0,IL,M
328,La Quinta Inn & Suites by Wyndham Muskogee,4.4,OK,S
329,Holiday Inn Brownsville,4.2,TX,S
330,Renaissance Albany Hotel,4.5,NY,N
331,Courtyard by Marriott Boston Foxborough/Mansfield,4.2,MA,N
332,AC Hotel by Marriott Nashville Downtown,4.5,TN,S
333,Best Western Plus North Odessa Inn & Suites,4.3,TX,S
334,Live! By Loews - Arlington Texas,4.3,TX,S
335,The Grand Resort,4.6,OH,M
336,Staybridge Suites Denver South - Highlands Ranch,4.5,CO,W
337,Sonder - The Circ,4.4,FL,S
338,Comfort Suites,4.0,NM,W
340,Bell Tower Hotel,4.5,MI,W
341,DoubleTree by Hilton Hotel Dallas Near the Galleria,4.2,TX,S
342,The Grand Resort,4.6,OH,M
343,Sofitel Chicago Magnificent Mile,4.6,IL,M
344,Moxy Columbus Short North,4.0,OH,M
345,The Wildwood Hotel,4.2,MO,M
346,Microtel Inn & Suites by Wyndham Roseville/Detroit Area,2.9,MI,W
347,Delamar Greenwich Harbor,4.6,CT,N
348,Arizona Grand Resort & Spa,4.3,AZ,W
349,AC Hotel by Marriott Raleigh North Hills,4.5,NC,S
350,Aloft Leawood-Overland Park,4.0,KS,M
351,7 Oaks Lodging,4.7,TX,S
352,Harrah's Ak-Chin,4.2,AZ,W
353,Hilton Shreveport,4.2,LA,S
354,Courtyard by Marriott Dallas Plano/Richardson,4.4,TX,S
355,Hilton Garden Inn Apopka City Center,4.6,FL,S
356,Hutchinson Island Plaza Hotel & Suites,4.3,FL,S
357,Embassy Suites by Hilton St. Louis St. Charles,4.4,MO,M
358,Grand Eastonian Hotel & Suites,4.3,PA,N
359,Dover Downs Hotel & Casino,4.3,DE,N
360,Glidden House,4.6,OH,M
361,Hyatt Place Lubbock,4.3,TX,S
362,ROYAL BEACH PALACE HOTEL,3.8,FL,S
363,Hotel on North,4.5,MA,N
364,The Cottages On Charleston Harbor,4.7,SC,S
365,DoubleTree by Hilton Hotel Orlando at SeaWorld,4.0,FL,S
366,DoubleTree by Hilton Greeley at Lincoln Park,4.4,CO,W
367,Camas Hotel & Suites Portland - Vancouver,4.6,WA,W
368,Tachi Palace Casino Resort,4.2,CA,W
369,The Central Park North,3.7,NY,N
370,Hyatt Place Delano,4.4,CA,W
371,Trumbull And Porter Hotel- Detroit Downtown,4.2,MI,W
372,C'mon Inn Hotel of Billings Montana,4.5,MT,W
373,Residence Inn by Marriott Casper,4.8,WY,W
374,Wine Country Inn,4.6,CO,W
375,Hyatt Regency Monterey Hotel And Spa On Del Monte Golf Course,4.2,CA,W
376,Hilton Garden Inn Longview,4.4,TX,S
377,Embassy Suites by Hilton Dallas DFW Airport South,4.1,TX,S
378,Arden Acres,4.1,CA,W
379,Tru by Hilton Florence I-95,4.1,SC,S
380,Hotel Phillips Kansas City Curio Collection by Hilton,4.1,MO,M
381,The Monkey Tree Hotel,4.6,CA,W
382,Drury Inn & Suites Terre Haute,4.5,IN,M
383,SoJo Spa Club,4.5,NJ,N
384,LA Sky Boutique Hotel,3.5,CA,W
385,Hyatt Regency Lake Tahoe Resort Spa And Casino,4.5,NV,W
386,Mystic Lake Casino Hotel,4.1,MN,M
387,The Woodlands Resort,4.5,TX,S
388,Bear Springs Hotel,4.6,CA,W
389,Golden Nugget Lake Charles Hotel & Casino,4.4,LA,S
390,An Enchanting Evening,4.8,AR,S
391,Hilton Garden Inn Indianapolis Downtown,4.4,IN,M
392,Homewood Suites by Hilton Rocky Mount,4.7,NC,S
393,Courtyard by Marriott Nashville Green Hills,4.3,TN,S
394,Hilton Washington Dulles Airport,4.2,VA,S
395,Embassy Suites by Hilton Rockford Riverfront,4.6,IL,M
396,DoubleTree by Hilton Pleasant Prairie Kenosha,4.4,WI,M
397,Hotel Constance Pasadena,4.5,CA,W
398,Holiday Inn Express & Suites Grand Island,4.4,NE,W
399,Renaissance Baton Rouge Hotel,4.4,LA,S
400,Hotel Indigo El Paso Downtown,4.3,TX,S
401,Kokopelli's Cave,4.6,NM,W
