,name,rating
206,The Monkey Tree Hotel,4.6
207,Best Western Monroeville Pittsburgh East,4.5
208,SpringHill Suites by Marriott Gulfport I-10,4.1
209,Sugarbush Resort at Mt. Ellen,4.7
210,Best Western Plus Houma Inn,4.4
211,Candlewood Suites Davenport,4.5
212,Fern River Resort,4.4
213,Best Western Orlando Gateway Hotel,4.0
214,InterContinental San Francisco,4.4
215,Holiday Inn Express & Suites Corpus Christi (North),4.1
216,Bellagio Hotel and Casino,4.7
217,Jekyll Island Club Resort,4.6
218,DoubleTree by Hilton Hotel St. Augustine Historic District,4.5
219,Hilton St. Augustine Historic Bayfront,4.5
220,Residence Inn by Marriott Charlotte Northlake,4.7
221,Best Western Plus Bloomington East Hotel,4.2
222,Park Right,3.8
223,Courtyard by Marriott Kingston,4.2
224,Emerald Grande at HarborWalk Village,4.5
225,Hampton Inn & Suites Phoenix East Mesa,4.5
226,Fairfield Inn & Suites by Marriott Alexandria,4.4
227,San Francisco Marriott Marquis,4.4
228,The St. Regis Atlanta,4.6
229,Fairfield Inn & Suites by Marriott Houston Energy Corridor/Katy Freeway,4.3
230,DoubleTree by Hilton Hotel Breckenridge,4.0
231,Hampton Inn New York - LaGuardia Airport,4.1
232,Holiday House Palm Springs,4.8
233,Hampton Inn Winfield/Teays Valley,4.3
234,Hilton Santa Barbara Beachfront Resort,4.3
235,Holiday Inn Express & Suites Houston NW - Tomball Area,4.5
236,Best Western Atoka Inn & Suites,4.5
237,Quality Inn Eureka - Redwoods Area,3.7
238,Tru by Hilton Staunton,4.6
239,Hyatt Regency Sacramento,4.4
240,"The Ritz-Carlton, Rancho Mirage",4.7
241,SpringHill Suites by Marriott Columbia,4.2
242,Mondrian South Beach Miami,4.2
243,Best Western Plus Grand Strand Inn & Suites,3.8
244,Omni Barton Creek Resort & Spa,4.4
245,La Tourelle Hotel & Spa,4.6
246,Churchill Manor,4.9
247,DoubleTree by Hilton Hotel Cape Cod - Hyannis,4.2
248,LivINN Hotel St. Paul – I-94 – East 3M Area,4.0
249,La Quinta Inn & Suites by Wyndham La Verkin-Gateway to Zion,4.4
250,Hyatt Place At Anaheim Resort/Convention Center,4.4
251,Toll House Hotel,4.3
252,Elara by Hilton Grand Vacations – Center Strip,4.5
253,CANVAS Hotel | Dallas,4.2
254,Ayres Suites Diamond Bar,4.4
255,Semiahmoo Resort,4.3
256,Thompson Nashville,4.6
257,Hyatt Regency Houston,4.4
258,Renaissance St. Louis Airport Hotel,4.2
259,Yonah Mountain Vineyards,4.7
260,Ohana Waikiki West,3.9
261,River Belle Inn,5.0
262,Legacy Vacation Resort Palm Coast,4.2
263,Brewster House Bed & Breakfast,5.0
264,1 Hotel South Beach,4.6
265,"Landmark Resort, Door County",4.5
266,Embassy Suites by Hilton Orlando-Lake Buena Vista South,4.6
267,Best Western New Albany,4.3
268,Scottsdale Marriott at McDowell Mountains,4.5
269,Hotel Fairmont Grand Del Mar,4.8
270,Marriott's SurfWatch,4.7
271,Best Western O'Hare North/Elk Grove Hotel,4.1
272,Fairfield Inn by Marriott Binghamton,4.3
273,Paradise Point Resort & Spa,4.2
274,Studio 6 McCarran,4.2
275,Courtyard by Marriott Seattle Bellevue/Downtown,4.3
276,Marriott's Grande Ocean,4.7
277,Home2 Suites by Hilton Tallahassee State Capitol,4.4
278,Best Western Executive Inn,4.0
279,Augusta Marriott at the Convention Center,4.4
280,Wyndham Visalia,4.1
281,Hotel Californian,4.5
282,"Golden Nugget Atlantic City Hotel, Casino & Marina",4.2
283,Tesla Destination Charger,
284,Ludlow's Island Resort,4.8
285,Eagle Ridge Resort & Spa,4.5
286,Holiday Inn Express & Suites Columbus East - Reynoldsburg,3.8
287,Tenaya Lodge at Yosemite,4.4
288,Loews New Orleans Hotel,4.5
289,Hampton Inn & Suites Raleigh Midtown,4.8
290,Hyatt Place Charlottesville,4.5
291,Hard Rock Hotel,4.6
292,Hilton Cincinnati Netherland Plaza,4.4
293,Skytop Lodge,4.5
294,La Quinta Inn & Suites by Wyndham Katy,3.9
295,Radisson Hotel San Diego-Rancho Bernardo,4.1
296,Best Western La Place Inn,4.1
297,Hilton Des Moines Downtown,4.4
298,Hyatt Regency Austin,4.5
299,Home2 Suites by Hilton Stillwater,4.5
300,Days Inn by Wyndham San Simeon,3.6
301,Renaissance Orlando at SeaWorld®,4.5
302,The Greenbrier,4.6
303,Airport Honolulu Hotel,3.8
304,Outrigger Waikiki Beach Resort,4.4
